order_number,toothbrush_type,order_date,customer_age,order_quantity,delivery_postcode,billing_postcode,is_first,dispatch_status,dispatch_date,delivery_status,delivery_date
BRU00008950,Toothbrush 2000,2022-12-18 23:04:24.577716000,59,4,BB53DN,DE557JJ,True,Order Received,,,
BRU00008762,Toothbrush 2000,2022-12-19 04:04:24.395714400,79,8,BS207PX,CM81BG,True,Order Received,,,
BRU00009184,Toothbrush 2000,2022-12-18 13:21:29.223266400,90,8,BH76QS,B619JA,True,Order Confirmed,2022-12-18 14:30:02.940314400,,
BRU00009098,Toothbrush 2000,2022-12-18 12:51:27.872106400,89,3,BH88QR,CH620DG,True,Order Received,,,
BRU00009148,Toothbrush 2000,2022-12-19 09:16:35.759289600,89,9,B262EN,BD109DD,True,Order Received,,,
BRU00008946,Toothbrush 2000,2022-12-18 21:51:40.857304400,77,4,DN31EW,BB24QP,True,Order Received,,,
BRU00008901,Toothbrush 4000,2022-12-19 04:06:48.284425600,29,2,GU266LQ,GL103SX,True,Order Confirmed,2022-12-19 05:23:20.616642399,,
BRU00009194,Toothbrush 2000,2022-12-19 03:45:33.084224400,81,8,EN35LE,DH87DA,True,Order Received,,,
BRU00008588,Toothbrush 4000,2022-12-18 19:34:31.132534400,17,9,DN48JF,B356BT,True,Order Received,,,
BRU00009122,Toothbrush 2000,2022-12-19 03:17:07.566880000,58,7,DL105EH,CO107ND,True,Order Received,,,
BRU00008902,Toothbrush 2000,2022-12-18 17:37:58.480789200,102,7,CH642XA,CM28PH,True,Order Confirmed,2022-12-18 18:25:38.637060000,,
BRU00008956,Toothbrush 4000,2022-12-19 18:09:29.213853600,41,2,CA48JY,AL108JR,True,Order Received,,,
BRU00009147,Toothbrush 2000,2022-12-18 13:06:02.786133600,82,5,CB235FL,EX204JA,True,Order Confirmed,2022-12-18 14:17:35.500470000,,
BRU00008610,Toothbrush 4000,2022-12-18 21:13:01.121956000,41,7,B389ES,EH125SG,True,Order Received,,,
BRU00008586,Toothbrush 4000,2022-12-18 12:28:05.110662000,26,4,IG76AA,B376TD,True,Order Confirmed,2022-12-18 13:33:16.188519600,,
BRU00008613,Toothbrush 4000,2022-12-19 09:24:48.349502800,19,1,CB250RF,CH40AP,True,Order Received,,,
BRU00009186,Toothbrush 2000,2022-12-18 18:12:36.969612000,67,7,G643PF,IG110FH,True,Order Received,,,
BRU00009314,Toothbrush 4000,2022-12-18 14:03:13.653618400,27,3,CM34ST,GL168SF,True,Order Received,,,
BRU00008652,Toothbrush 2000,2022-12-19 06:09:47.320554800,78,4,E182HU,GL541NA,True,Order Confirmed,2022-12-19 07:23:46.133216000,,
BRU00008798,Toothbrush 4000,2022-12-19 20:00:21.837641600,43,3,CA27EB,BR12AH,True,Order Received,,,
BRU00009152,Toothbrush 4000,2022-12-19 11:25:36.075312800,38,4,B185DQ,CW72LB,True,Order Confirmed,2022-12-19 12:24:02.198314400,,
BRU00008959,Toothbrush 2000,2022-12-19 15:12:43.304500000,91,7,EX165QE,CH74NB,True,Order Received,,,
BRU00009155,Toothbrush 2000,2022-12-18 21:59:49.000253200,80,5,CF645RR,FY13HR,True,Order Received,,,
BRU00008886,Toothbrush 2000,2022-12-18 10:59:17.034751600,67,4,CW95JR,CW123BL,True,Order Received,,,
BRU00009076,Toothbrush 4000,2022-12-19 01:58:57.653792400,33,2,AB547PQ,GY11TU,True,Order Confirmed,2022-12-19 03:05:37.182850800,,
BRU00009087,Toothbrush 4000,2022-12-19 03:45:11.298729600,24,2,EC3V9AA,CM195SB,True,Order Confirmed,2022-12-19 04:33:17.536183200,,
BRU00009218,Toothbrush 4000,2022-12-18 19:31:15.028222000,21,7,CO160BG,DY85XN,True,Order Received,,,
BRU00008660,Toothbrush 2000,2022-12-19 12:43:58.931912800,61,6,G235BT,CV120EA,True,Order Confirmed,2022-12-19 14:14:23.622444400,,
