order_number,toothbrush_type,order_date,customer_age,order_quantity,delivery_postcode,billing_postcode,is_first,dispatch_status,dispatch_date,delivery_status,delivery_date
BRU00003894,Toothbrush 4000,2021-03-19 20:01:50.420191600,35,5,BL69DR,CM34DL,True,Dispatched,2021-03-20 03:57:59.625170800,Delivered,2021-03-21 08:44:01.371946000
BRU00005373,Toothbrush 2000,2022-11-02 16:34:30.507303600,76,6,HU94PN,DE61FQ,True,Dispatched,2022-11-02 23:39:50.422668000,Delivered,2022-11-04 03:34:45.333144000
BRU00000340,Toothbrush 4000,2021-07-10 05:22:58.446125200,38,6,CB102BQ,DN110BF,True,Dispatched,2021-07-10 11:51:41.905243600,Delivered,2021-07-11 17:51:55.796261200
BRU00004934,Toothbrush 2000,2022-01-04 00:36:20.362168799,70,6,EH166AY,E17BE,True,Dispatched,2022-01-04 07:50:11.469008399,Delivered,2022-01-05 07:20:50.068561199
BRU00003993,Toothbrush 4000,2022-08-06 04:19:43.879668800,10,7,DD53UW,HU114HT,True,Dispatched,2022-08-06 10:33:40.016190800,Delivered,2022-08-07 19:53:40.997297600
BRU00007153,Toothbrush 4000,2021-12-28 04:17:38.735308000,28,4,GU228PR,DY76LH,True,Dispatched,2021-12-28 11:36:31.064717200,Delivered,2021-12-29 09:35:07.405447600
BRU00008370,Toothbrush 4000,2021-03-11 04:33:58.768921600,34,1,G825LB,BS148PS,True,Dispatched,2021-03-11 11:39:06.688582000,Delivered,2021-03-12 13:38:15.192558400
BRU00000476,Toothbrush 2000,2022-08-29 05:42:52.229174000,82,8,AB219FT,DT20NA,True,Dispatched,2022-08-29 12:10:41.498507600,Delivered,2022-08-30 23:02:55.874086400
BRU00000046,Toothbrush 2000,2021-01-27 04:52:18.744846000,73,6,G830RZ,CW95PJ,True,Dispatched,2021-01-27 11:20:17.576366400,Delivered,2021-01-28 14:41:02.032808400
BRU00002139,Toothbrush 4000,2021-08-26 16:15:29.137107200,37,5,AL108ER,AB452YQ,True,Dispatched,2021-08-26 23:30:34.668474799,Delivered,2021-08-28 03:18:07.345709599
BRU00003049,Toothbrush 4000,2021-09-15 10:33:13.520312400,34,6,DE118HD,B346RX,True,Dispatched,2021-09-15 16:49:20.776930800,Delivered,2021-09-16 13:42:07.392907200
BRU00006478,Toothbrush 4000,2022-01-16 00:29:53.150392400,27,7,BN86QA,IM96QA,True,Dispatched,2022-01-16 07:35:19.436676800,Delivered,2022-01-17 11:54:08.528836400
BRU00003582,Toothbrush 2000,2021-11-30 23:04:37.926995200,72,8,CH479RU,E46SP,True,Dispatched,2021-12-01 05:30:47.620775200,Delivered,2021-12-02 09:51:31.134384400
BRU00006144,Toothbrush 4000,2021-03-16 02:24:49.310718000,31,7,CA102JE,CF434EY,True,Dispatched,2021-03-16 09:10:13.888008000,Delivered,2021-03-17 11:56:41.411618400
BRU00000746,Toothbrush 4000,2021-10-07 08:29:02.401596400,9,9,BH214AA,EN118LA,True,Dispatched,2021-10-07 15:35:20.632403200,Delivered,2021-10-08 19:41:36.447854800
BRU00005087,Toothbrush 2000,2021-04-29 21:19:22.105923200,74,5,CF238QG,AL109SG,True,Dispatched,2021-04-30 05:13:58.176789200,Delivered,2021-05-01 06:55:42.316578800
BRU00002354,Toothbrush 4000,2022-10-13 13:48:14.910493200,31,6,BN19QE,CA118FL,True,Dispatched,2022-10-13 20:18:52.801925999,Delivered,2022-10-14 21:51:45.969539998
BRU00000583,Toothbrush 2000,2021-01-19 10:36:01.037730800,78,1,HU91SR,BN32FE,True,Dispatched,2021-01-19 16:50:06.904620800,Delivered,2021-01-20 17:59:46.903781600
BRU00006250,Toothbrush 4000,2022-10-28 20:52:18.453822000,34,8,E84NB,B369JP,True,Dispatched,2022-10-29 04:29:08.262439200,Delivered,2022-10-30 06:45:02.777538000
BRU00008131,Toothbrush 2000,2022-12-06 14:57:02.061426000,82,4,G758SW,BB98DN,True,Dispatched,2022-12-06 21:06:52.291020000,Delivered,2022-12-08 00:50:32.012913600
BRU00004980,Toothbrush 4000,2021-09-24 07:28:58.865828000,33,5,CA145QB,DE13BS,True,Dispatched,2021-09-24 15:23:58.286002400,Delivered,2021-09-25 20:18:44.567278400
BRU00007142,Toothbrush 2000,2022-03-11 09:15:55.721766000,81,9,DH58HN,HU165HD,True,Dispatched,2022-03-11 16:30:08.241729600,Delivered,2022-03-12 10:25:28.505230800
BRU00002942,Toothbrush 4000,2021-08-17 06:46:08.653445200,43,6,FK54DY,CH494RW,True,Dispatched,2021-08-17 15:19:27.122766399,Delivered,2021-08-19 00:36:51.982104399
BRU00005381,Toothbrush 2000,2021-10-13 21:07:52.039219600,72,1,CF611ZH,BL15NZ,True,Dispatched,2021-10-14 04:55:58.597696000,Delivered,2021-10-15 10:26:23.466150399
BRU00000196,Toothbrush 4000,2021-02-01 22:11:43.925290800,29,7,CF644HH,B930EB,True,Dispatched,2021-02-02 05:29:50.421616800,Delivered,2021-02-03 11:05:40.552346400
BRU00008310,Toothbrush 4000,2021-10-27 15:08:52.281670000,28,9,DA49BJ,BN32LT,True,Dispatched,2021-10-27 22:42:39.545062000,Delivered,2021-10-28 21:54:25.214088400
BRU00007644,Toothbrush 2000,2021-06-28 23:20:14.257514400,99,1,AB392DU,BS328DW,True,Dispatched,2021-06-29 06:07:02.081650800,Delivered,2021-06-30 08:43:34.611783600
BRU00005775,Toothbrush 2000,2022-06-21 05:23:15.052184800,64,2,GU73AG,HR40RE,True,Dispatched,2022-06-21 11:13:36.698530000,Delivered,2022-06-22 15:57:47.880650800
BRU00001006,Toothbrush 2000,2021-09-17 05:00:15.171318400,73,1,HS20AX,DE560JG,True,Dispatched,2021-09-17 11:46:46.938925600,Delivered,2021-09-18 16:46:25.511351200
BRU00002698,Toothbrush 2000,2021-12-12 05:48:47.190715600,70,3,DL131SN,HX40EQ,True,Dispatched,2021-12-12 12:46:40.865326000,Delivered,2021-12-13 18:08:28.683434800
BRU00007890,Toothbrush 2000,2022-04-28 20:15:45.443888800,60,9,CA117NW,BD59AZ,True,Dispatched,2022-04-29 03:02:32.932184800,Delivered,2022-04-30 01:57:34.075218400
BRU00004766,Toothbrush 2000,2022-10-08 12:12:53.023108800,56,2,B330AP,GL181BD,True,Dispatched,2022-10-08 19:42:04.115326800,Delivered,2022-10-09 18:05:35.555518800
BRU00001350,Toothbrush 4000,2021-10-22 18:05:34.230860400,37,2,CT103QH,DY116SZ,True,Dispatched,2021-10-23 01:33:55.634640000,Delivered,2021-10-24 04:25:19.367640000
BRU00008084,Toothbrush 4000,2021-04-16 19:34:53.919769600,18,8,CF417RP,BN13JJ,True,Dispatched,2021-04-17 02:37:50.434757200,Delivered,2021-04-18 08:07:16.011697600
BRU00005712,Toothbrush 2000,2021-10-02 18:07:00.290338800,81,7,B721DH,CM63RG,True,Dispatched,2021-10-03 01:20:30.402316800,Delivered,2021-10-04 01:10:18.732368400
BRU00006759,Toothbrush 2000,2022-02-17 07:12:09.562207999,85,7,B736UJ,BN18TS,True,Dispatched,2022-02-17 14:40:54.138503599,Delivered,2022-02-18 23:28:21.631684399
BRU00004811,Toothbrush 2000,2022-06-10 08:17:25.685895999,61,2,CA93LP,CH434UZ,True,Dispatched,2022-06-10 15:49:25.121058399,Delivered,2022-06-11 21:21:28.766982399
BRU00006068,Toothbrush 4000,2022-03-25 15:08:22.692282400,46,8,CT179SZ,GU218UZ,True,Dispatched,2022-03-25 21:30:29.034270400,Delivered,2022-03-27 02:53:25.610885200
BRU00008060,Toothbrush 4000,2021-07-17 12:27:26.344758000,34,8,BB67HP,BS305LY,True,Dispatched,2021-07-17 19:45:58.386212400,Delivered,2021-07-18 22:01:29.680450799
BRU00008248,Toothbrush 4000,2022-09-11 12:53:03.031744000,31,4,GL103ED,EX348ES,True,Dispatched,2022-09-11 21:01:09.224048800,Delivered,2022-09-12 21:00:03.053834800
BRU00007814,Toothbrush 2000,2022-11-13 12:44:36.698806400,65,1,DY68HU,EN76AG,True,Dispatched,2022-11-13 19:54:46.187633600,Delivered,2022-11-15 00:45:02.710008800
BRU00003628,Toothbrush 4000,2022-05-04 14:42:12.976380000,32,3,DY83YJ,BN519FZ,True,Dispatched,2022-05-04 22:10:05.016734400,Delivered,2022-05-05 18:48:21.389871600
BRU00008350,Toothbrush 4000,2022-06-12 03:14:54.582930800,15,5,DT102EB,HU143LX,True,Dispatched,2022-06-12 10:18:29.240429600,Delivered,2022-06-13 08:48:22.551028400
BRU00005310,Toothbrush 2000,2021-07-18 06:16:45.131906400,77,6,DA145HU,DA110DA,True,Dispatched,2021-07-18 13:27:02.916800400,Delivered,2021-07-19 17:18:40.798840800
